Date,Mood,Intensity,Supporting_Text
2025-05-04,Happy,0.5,"pter. Let's celebrate. I'm so happy. Shuyu, what do you want to d"
2025-05-04,Happy,0.5, with love. Thank you. I feel happy. Thank you. You can open it a
2025-05-04,Happy,0.5,he board of our boat. He's so happy. He's always happy. What's he
2025-05-04,Happy,0.5,t. He's so happy. He's always happy. What's he doing? He's hiding
2025-05-04,Happy,0.5,ink it again. You can see how happy we are. I want to try this ch
2025-05-04,Happy,0.5,"How have you been lately? I'm happy. Cheers.
Whose face do you th"
2025-05-04,Happy,0.5,"e to their team twice. I'm so happy.
My new boss is ESCJ. I think"
2025-05-04,Happy,0.5,"is not right, the boss is not happy, or the situation is not good"
2025-05-04,Happy,0.5," read it. You didn't read the content. Thank you.
He saw a book. Ye"
2025-05-04,Sad,0.5,anslation function. Take this down. This is an iron ring. It can
2025-05-04,Sad,0.5,to write it? You can write it down. Can you write it down? Yes. 
2025-05-04,Sad,0.5,ite it down. Can you write it down? Yes. Then we'll write down t
2025-05-04,Sad,0.5,t down? Yes. Then we'll write down the names. She'll write down 
2025-05-04,Sad,0.5, down the names. She'll write down our names. Okay. Then you can
2025-05-04,Sad,0.7,mes. Okay. Then you can write down everyone's names. I'll write 
2025-05-04,Sad,0.7, everyone's names. I'll write down everyone's names. I don't thi
2025-05-04,Sad,0.7, think... Everyone will write down one. Just two people. One by 
2025-05-04,Sad,0.5,"t a white one.
No, no. Put it down. Put it here.
You're so trans"
2025-05-04,Sad,0.5,"nk one.
Do you want to put it down? I can't eat it. Am I right? "
2025-05-04,Sad,0.5, I'll say it's good. Write it down for her. I'll write it down f
2025-05-04,Sad,0.5,t down for her. I'll write it down for you. You have a lot of id
2025-05-04,Sad,0.5,ely guessed it. I'll write it down for you. Change it. Guess wha
2025-05-04,Sad,0.5,"ith you. Right? I'll write it down for you.
Okay, keep drinking."
2025-05-04,Sad,0.5,"go fourth. Then how do you go down on the fourth. 
Continue to s"
2025-05-04,Sad,0.5," I think overall, we're going down. And short-term safety is no "
2025-05-04,Neutral,0.5,", there you go. There you go. Okay, so I'll bring out just bubbl"
2025-05-04,Neutral,0.5,"e, Yes, in one mix-and-match. Okay, sounds good. I can fill them"
2025-05-04,Neutral,0.7,"t. So you can see everything. Okay, sounds good. Perfect. So I c"
2025-05-04,Neutral,0.5,"is one? I just drank it. It's okay, you didn't film it just now."
2025-05-04,Neutral,0.5,", do you feel tired now? It's okay, I can't do it until one o'cl"
2025-05-04,Neutral,0.7," we? Should we? I don't know.
Okay, that'll get everybody in, pe"
2025-05-04,Neutral,0.5, She'll write down our names. Okay. Then you can write down ever
2025-05-04,Neutral,0.5,"oman.
Like this. I think it's okay. I'm a little embarrassed. I "
2025-05-04,Neutral,0.5,"ou see it. 
Who are they? Oh, okay. Let me see, let me see, let "
2025-05-04,Neutral,0.5,"w what you're going to write. Okay, okay. How is it? I don't kno"
2025-05-04,Neutral,0.5," you're going to write. Okay, okay. How is it? I don't know. Uh,"
2025-05-04,Neutral,0.5,"does it mean?
No, no, no. Oh, okay. I get it, I get it. I got it"
2025-05-04,Neutral,0.5,"? I'll write it down for you.
Okay, keep drinking. Oh, right, yo"
2025-05-04,Neutral,0.5," talk. You have to talk. It's okay, you have to drink it. Why? Y"
2025-05-04,Neutral,0.5,an't you use your words? It's okay to talk. I'm used to it. I'm 
2025-05-04,Neutral,0.5,"'s the last one.
I think it's okay anyway. Hang in there until t"
2025-05-04,Neutral,0.5,"se weight. Xiao Hong is like, okay. Here it is.
Who is the spy? "
2025-05-04,Neutral,0.5,"o's number 7? Who's number 7? Okay, okay. Okay, we can start now"
2025-05-04,Neutral,0.5,"mber 7? Who's number 7? Okay, okay. Okay, we can start now, righ"
2025-05-04,Neutral,0.5,"? Who's number 7? Okay, okay. Okay, we can start now, right? Ah,"
2025-05-04,Neutral,0.5,"o. Oh, them two. I think it's okay to keep the original choice. "
2025-05-04,Neutral,0.5,"four people at the beginning. Okay, then I'll go first. I'll go "
2025-05-04,Neutral,0.5,"ess it. No, I don't think so. Okay. Then the chef's identity wil"
2025-05-04,Neutral,0.5,en you can add it again. It's okay. Then who was it just now? It
2025-05-04,Neutral,0.5,". Why am I the chef? Oh, it's okay. It's this round. Who did it?"
2025-05-04,Neutral,0.5,"e don't know the answer. It's okay.
Yes. Three, two, one. Okay. "
2025-05-04,Neutral,0.5,"s okay.
Yes. Three, two, one. Okay. Then I'll pick you up first."
2025-05-04,Neutral,0.5, Then I'll pick you up first. Okay. I'll do it. You don't have t
2025-05-04,Neutral,0.5, It's you. I'm Ping Ping. Oh. Okay. The next one starts with me.
2025-05-04,Neutral,0.5,"ve to talk. You have to talk. Okay, then it's my turn next. You "
2025-05-04,Neutral,0.5," reaction. That's how I feel.
Okay, next.
I'm thinking. I feel l"
