Date,Interaction_Type,Person,Supporting_Text
2025-05-04,Positive,,"ld do as well. So, up to you. Thank you. I'll bring out bubbles for e"
2025-05-04,Positive,,"y. Just to get us settled in. Thank you.
This is for everyone. What a"
2025-05-04,Positive,,"the menu a little bit longer.
Thank you. What is this one? This is ju"
2025-05-04,Positive,, made in the Champagne style. Thank you. Do you want to say something
2025-05-04,Positive,," something, too. I just left. Thank you. New chapter. Thank you. Ever"
2025-05-04,Positive,,left. Thank you. New chapter. Thank you. Everyone is a new chapter. L
2025-05-04,Positive,,"Inspiration, he participated. Thank you. I also sent it. We sent it l"
2025-05-04,Positive,,like... I'm filled with love. Thank you. I feel happy. Thank you. You
2025-05-04,Positive,,ove. Thank you. I feel happy. Thank you. You can open it at any time.
2025-05-04,Positive,,aid. How can I not be afraid? Thank you. This is for you. Thank you. 
2025-05-04,Positive,,"? Thank you. This is for you. Thank you. So cute.
This is a present. "
2025-05-04,Positive,, about me? I like this color. Thank you. You look good with this colo
2025-05-04,Positive,," You didn't read the content. Thank you.
He saw a book. Yes, I saw it"
2025-05-04,Positive,,"in, perfect, three, two, one.
Thank you.
Oh, yeah yeah yeah.
This is "
2025-05-04,Positive,,"ausage. I want the first one. Thank you.
Your name is... You have to "
2025-05-04,Positive,,"t seen for the longest time. 
Thank you. Thank you. Drink it. Drink i"
2025-05-04,Positive,,"the longest time. 
Thank you. Thank you. Drink it. Drink it. I can't "
2025-05-04,Positive,,. Is this cheese good? Maybe. Thank you. I also want a piece of chees
2025-05-04,Positive,,oisonous. It's too poisonous. Thank you. Do you think it tastes like 
2025-05-04,Positive,,"e an ID? You have to write it Thank you Red one You can keep going.
Y"
2025-05-04,Positive,,"ve to drink again. I'm crazy.
Thank you. Can you feel why we don't le"
2025-05-04,Positive,, me some water. It's so hard. Thank you. I don't think it's hard. It'
2025-05-04,Positive,,"s I get older, I can start to appreciate a little bit of dryness. The "
2025-05-04,Positive,,"e can do remote work. It's so helpful. Yes, yes, yes.
Maybe in Sept"
2025-05-04,Positive,," is just comfortable.
It's so helpful. I also want to start working"
2025-05-04,Positive,,"rink it. Drink it. You are so helpful. Really. 
I have a conscience"
2025-05-04,Positive,,". What do you mean? I mean, I agree with a certain person's point"
2025-05-04,Positive,,"ain person's point of view. I agree.
Drink.
Tao Zeyuan, it's his "
2025-05-04,Negative,,"gon is not right, the boss is not happy, or the situation is not good"
2025-05-04,Negative,,"at? Good taste. This is a bit difficult.
What are you doing? It's jus"
2025-05-04,Negative,,good today? Drink. What's the problem? As long as I say the word go
2025-05-04,Negative,, don't know if it's a serious problem or a... Then guess what we wa
2025-05-04,Negative,,re? I think I'm safe. It's no problem. But I... We just talked abou
2025-05-04,Negative,,". And short-term safety is no problem. As for the long-term, we don"
2025-05-10,Positive,,"er, is really that important.
Thank you.
Oh, my goodness.
Wow, he loo"
2025-05-10,Positive,,"e so strong. Oh my god, baby.
Thank you. 千万别想起我 头红飞过处远点.
Thank you.
I"
2025-05-10,Positive,,"y.
Thank you. 千万别想起我 头红飞过处远点.
Thank you.
I love you so much.
What sho"
2025-05-10,Positive,,"t I don't know how to say it.
Thank you.
I feel like when I'm on PMS,"
2025-05-10,Positive,," know what I'm talking about.
Thank you.
Wow, Linzi I was thinking ab"
2025-05-10,Positive,,"s solved it. No, it's not. So thank you. You can eat first. It's okay"
2025-05-10,Positive,,f opportunities to invite us. Thank you. It's okay. I'll just ask you
2025-05-10,Positive,,"endless. Of course. Oh, yeah.
Thank you. 饿的时候大早盒可管用了,我才知道了。 就是在那个绿色卷纱"
2025-05-10,Positive,,"r hand. Let me see. Hurry up.
Thank you, wife.
Wife, get me a bottle "
2025-05-10,Positive,," y'all sit next to you, okay?
Thank you.
What's wrong, Yoko? She just"
2025-05-10,Positive,,"This is the end of the video, thank you for watching until the end of"
2025-05-10,Positive,,"
Hmm.
See you soon.
Good job, thank you.
Thank you.
Wow, it looks so "
2025-05-10,Positive,,"ou soon.
Good job, thank you.
Thank you.
Wow, it looks so cool from t"
2025-05-10,Positive,,"u?
Now turn right onto the...
Thank you so much for watching, and I'l"
2025-05-10,Positive,,"In this moment.
I don't know.
Thank you.
I don't know what to say.
试过"
2025-05-10,Positive,,"it online already? Yes. Okay. Thank you.
In 500 feet, turn left onto "
2025-05-10,Positive,," and then we'll park in turn.
Thank you.
I don't want to cheat.
Thank"
2025-05-10,Positive,,"k you.
I don't want to cheat.
Thank you.
Okay.
Okay, I'll walk there "
2025-05-10,Positive,,"hou Suntang. It sounds spicy.
Thank you.
It's spicy because it has mi"
2025-05-10,Positive,,"ts. I don't know what to say.
Thank you.
I don't know.
Let's go. I do"
2025-05-10,Positive,,"hen you're cleaning the line. Thank you. Bye.
Thank you.
Oh, you're h"
2025-05-10,Positive,,"ing the line. Thank you. Bye.
Thank you.
Oh, you're here! You're here"
2025-05-10,Positive,,"You're here!
Yeah, here I am.
Thank you.
Three, two, one, go.
Dear Gu"
2025-05-10,Positive,," have another table to serve.
Thank you. Bye.
I don't know what to sa"
2025-05-10,Positive,,"oing to come out really well.
Thank you. 0, 8, 2, Dear Guest, your me"
2025-05-10,Positive,,"eful when picking it up.
Bye. Thank you."
2025-05-10,Positive,,he asked me last week. Then I agreed. But I forgot. She reminded 
2025-05-10,Positive,,"c. There is no one who really agrees to be a parent.
Come on, che"
2025-05-10,Positive,,o bring a passport. This is a good point. What's wrong with the money 
2025-05-10,Negative,,our girl? Your girl is always worried about her friends. I don't th
2025-05-10,Negative,," friends are down, I'm always worried about them. So you want me to"
2025-05-10,Negative,,ers. This is really one of my problems. I was wrong. It's not my fa
2025-05-10,Negative,, the situation. There will be problems. You don't need to worry abo
2025-05-09,Negative,, I don't feel like I have any problems. I don't know. What I hope f
2025-05-09,Negative,,"rning, there will be a lot of problems. I hope that I can be in a s"
2025-05-09,Negative,,"nger I stay at home, the less problems I have. Maybe I can find a g"
2025-05-03,Positive,,"a, you can ask us for things.
Thank you.
He actually texted me an hou"
2025-05-03,Positive,,"gy. I need a positive energy. Thank you, you too. And your diamond ri"
2025-05-03,Positive,,"tely another positive energy. Thank you.
Oh, yeah, he, he did agree. "
2025-05-03,Positive,,"thing has an energy. I need a positive energy. Thank you, you too. A"
2025-05-03,Positive,,"nd ring is definitely another positive energy. Thank you.
Oh, yeah, "
2025-05-03,Positive,,"ank you.
Oh, yeah, he, he did agree. job oh he loves you so much "
2025-05-03,Negative,,"n you feel like, Is that that difficult? It's not, Right, you can spe"
2025-05-03,Negative,," cannot bring Yoko what's the problem just like leaving, Yoko just "
2025-05-03,Negative,," hard in reality like privacy issues.
Now turning left onto 6th A"
