Date,Topic,Supporting_Text
2025-05-04,Work,ecording now. I'll see how it works later. But I don't know if I
2025-05-04,Work," one makes a hash. And we are working on the, Yes, in one mix-an"
2025-05-04,Work,"Yes, because he can do remote work. It's so helpful. Yes, yes, y"
2025-05-04,Work,ng in August. But you have to work. Because we have a team in Au
2025-05-04,Work,helpful. I also want to start working. You just changed. You wil
2025-05-04,Work,"I don't know when I can go to work every day, I will feel very u"
2025-05-04,Work,". I don't think it's going to work. Yeah, I don't think it's goi"
2025-05-04,Work,", I don't think it's going to work either. Maybe it's already wo"
2025-05-04,Work,"rk either. Maybe it's already working. Are you dizzy? No, I'm no"
2025-05-04,Work,"ne else, it basically doesn't work. So you know that Min Jun has"
2025-05-04,Work,"me out. No need. Are you guys working on a paper? No, no.
Yeah, "
2025-05-04,Work,k we can take a look. Will it work today? It's not working right
2025-05-04,Work, Will it work today? It's not working right now. That's two days
2025-05-04,Work,"o you have to have someone to work with. Yes, you have to have s"
2025-05-04,Social,"that's right.
I'll stay here. Friends.
Everyone interested in doin"
2025-05-04,Social,can't either. I often miss my friends. So I've been wondering why 
2025-05-04,Social," What do you think? Handsome, friendly. We should prepare at the s"
2025-05-04,Social,"ight. Just be all around your friends first. Yeah, I think. Of cou"
2025-05-04,Social,"ly for UX. Last week, I met a friend from Hong Kong. And next week"
2025-05-04,Social," And next week, I will meet a friend from Saskatchewan. And then w"
2025-05-04,Social,"Right now, I'm waiting for my friend to be ready to go. As soon as"
2025-05-04,Social, care of you while Chloe's at lunch. Are we still doing alright h
2025-05-04,Social,er face is so red. Let's have dinner first. I'll drive her there a
2025-05-04,Social,ck to pick her up. We'll have dinner nearby. I'm just looking at t
2025-05-04,Personal,"ong Zuyin. Sometimes I have a relationship with him.
Who's number 7? Who"
2025-05-04,Personal," stay here. Friends.
Everyone interested in doing a tasting today? S"
2025-05-04,Personal,"ting today? So if you are not interested, so we are not doing it? Ye"
2025-05-04,Personal,"ust wondering if everyone was interested in doing a tasting.
You can"
2025-05-04,Personal, discovering yourself is very interesting? Although I'm fully remote
2025-05-04,Personal,"ing well, you can do a lot of interesting things and be free.
And if"
2025-05-04,Personal,good to you. I don't have any interest in this matter. I understand.
2025-05-04,Health,". But maybe for my new mental health, it's a good thing. Yes. Now "
2025-05-04,Health,it's not very good for mental health. It will be more and more dep
2025-05-04,Health,freedom. I hope to be able to sleep naturally every day. Then I d
2025-05-04,Technology,i recommended an AI recording software to me. Then what can I do? Yo
2025-05-04,Technology,ord it. Then you can feel the appearance of her samurais. At th
2025-05-04,Technology,"ter. Let's celebrate. I'm so happy. Shuyu, what do you want to "
2025-05-04,Technology,with love. Thank you. I feel happy. Thank you. You can open it 
2025-05-04,Technology," Because ADHD...
I often miss appointments, but you never do. N"
2025-05-04,Technology,e board of our boat. He's so happy. He's always happy. What's h
2025-05-04,Technology,. He's so happy. He's always happy. What's he doing? He's hidin
2025-05-04,Technology,nk it again. You can see how happy we are. I want to try this c
2025-05-04,Technology,"ow have you been lately? I'm happy. Cheers.
Whose face do you t"
2025-05-04,Technology, this is. What's wrong? What happened? Nothing. The two of you 
2025-05-04,Technology,"s I get older, I can start to appreciate a little bit of drynes"
2025-05-04,Technology," to their team twice. I'm so happy.
My new boss is ESCJ. I thin"
2025-05-04,Technology,"p to collect those things and apply for UX. Last week, I met a "
2025-05-04,Technology,"s not right, the boss is not happy, or the situation is not goo"
2025-05-04,Technology,"e to me, but after something happened to me, he chose not to be"
2025-05-04,Technology,ree days. Yeah. I think I can apply in 18 months. Yeah. You hav
2025-05-04,Technology, not. I'm sorry. Then you can apply in 18 months. 18 months? I 
2025-05-04,Technology,n 18 months. 18 months? I can apply in 10 months. I love it. Yo
2025-05-04,Technology,"
This is another recording device that Weiwei recommended. I'm "
2025-05-10,Work," the transcript. I'm going to work for a while, and then I'm goi"
2025-05-10,Work,"kay, she's here.
It's hard to work because it seems to be a litt"
2025-05-10,Work,"mine. But when I feel that my work is not that interesting, I ha"
2025-05-10,Work,"ve a good dopamine to do this work. But to be honest, at that ti"
2025-05-10,Work," and it wasn't good. But, ah, work, whatever, is really that imp"
2025-05-10,Work,"ah. Yes. If you want to go to work, you can go to your parents' "
2025-05-10,Work,"at, it's not that you have to work all day. You can work three o"
2025-05-10,Work,have to work all day. You can work three or five days a week. Th
2025-05-10,Work,"baby. This is the clothes for work, right? I haven't changed my "
2025-05-10,Work,"ugh it looks good, it doesn't work. You guys order first. I'm hu"
2025-05-10,Social,l is always worried about her friends. I don't think I'm good to o
2025-05-10,Social,"when others are down, when my friends are down, I'm always worried"
2025-05-10,Social," gourd? Sure, I'll give you a friendly price. KK, I really envy yo"
2025-05-10,Social," going to eat hot pot with my friends. Yexin, Xinyu, Linzi, Wang J"
2025-05-10,Social,"we meant to be is more than a friend There's no one to save.
You'r"
2025-05-10,Social,"you to the bathroom first. My friends should have come in, too. Tw"
2025-05-10,Social, time do you guys finish your dinner? I think it's pretty good. Ab
2025-05-10,Social,"Youkou! You didn't go out for dinner, did you? I ate dinner. Who d"
2025-05-10,Social,"ut for dinner, did you? I ate dinner. Who did you go out with?
I w"
2025-05-10,Personal,tonight. Do you know that our family came to seal? I didn't tell y
2025-05-10,Personal,ioned it to me. She said your family has a storm. But I don't know
2025-05-10,Personal,"nk so too. Yes. Actually, our family is very lucky. Isn't it? Our "
2025-05-10,Personal," is very lucky. Isn't it? Our family is very lucky.
After that, it"
2025-05-10,Personal,rents don't care. Gao Meixi's family seems to be in a lot of troub
2025-05-10,Personal,"ing like this happened in our family, I would definitely... I stil"
2025-05-10,Personal,'t... You can't just let your family donate to someone else. Becau
2025-05-10,Personal,"money? It's not easy for your family to do this. Yes, I think so t"
2025-05-10,Personal,"to take a class and teach our family how to make gourd? Sure, I'll"
2025-05-10,Personal,"be a meticulous person in the family. Otherwise, I'll be in troubl"
2025-05-10,Personal,"I don't care. Okay, I'm going home now, I just got home, because"
2025-05-10,Personal,"'m going home now, I just got home, because I just went downstai"
2025-05-10,Personal," We don't eat grilled fish at home. Why? So you can eat first.
W"
2025-05-10,Personal,t potatoes. I want to stay at home and do my job. I want to eat 
2025-05-10,Personal,"ng. His grandpa watched it at home. That's pretty good.
But the "
2025-05-10,Personal,"d fish. I had grilled fish at home last time. Oh, you had grille"
2025-05-10,Personal,". Oh, you had grilled fish at home last time. That's good. Every"
2025-05-10,Personal,e's no way for him to stay at home. I think it's better to stay 
2025-05-10,Personal, think it's better to stay at home. It's better for you. The kid
2025-05-10,Personal,"ad, mom. Tell me when you get home. Okay. Okay, my big baby. Mom"
2025-05-10,Personal,"ous? Grandpa, you can take it home and eat it at night. I'm hung"
2025-05-10,Personal,"l day Otherwise, if I stay at home all day and have a long time,"
2025-05-10,Personal,few pieces of shrimp paste at home. I have a few big pieces of s
2025-05-10,Personal,"e. No, I mean I have a lot at home. I want to try something diff"
2025-05-10,Personal,e end of the world. I am your life. In my sleep. In this moment.
2025-05-10,Personal,e said that... she thinks our life is too hard. She filmed a vid
2025-05-10,Personal,"feel that my work is not that interesting, I have to listen to music"
2025-05-10,Personal,"the peppers. Yeah, it's quite interesting. Yeah, it's the water from"
2025-05-10,Health,oke up this morning and fell asleep again. I found that I couldn'
2025-05-10,Health,"gain. I found that I couldn't sleep well in the morning, so I fel"
2025-05-10,Health,"ll in the morning, so I fell asleep. I feel that my aunt is a lit"
2025-05-10,Health,"If you drive, what if you get sleepy?
I can't sleep in the mornin"
2025-05-10,Health,"at if you get sleepy?
I can't sleep in the morning or in the afte"
2025-05-10,Health,idong watched it while he was sleeping. His grandpa watched it at
2025-05-10,Health," world. I am your life. In my sleep. In this moment.
I don't know"
2025-05-10,Technology,"t that other people can be unhappy all the time?
And then I alw"
2025-05-10,Technology,"think about why others are unhappy, this is not right. I just h"
2025-05-10,Technology,"ee that? Youkou! I saw that. Happy. Youkou! If you're happy, it"
2025-05-10,Technology,"at. Happy. Youkou! If you're happy, it means you're happy. If y"
